;group;user;task_id;cum_this_puzzle_attempt;timestamp;percentage_tutorial;percentage_intermediate;percentage_advanced;attempts_per_puzzle;user_elo;puzzle_elo;puzzle_difficulty;avg_complete_time;n_events;percentileEvents;n_check_solution;percentileAtt;n_breaks;n_manipulation_events;n_snapshot;n_rotate_view;completed;n_events_percentile1;n_events_percentile2;n_events_percentile3
e6af7d42084352a39449e6d0a09b18cd~10db62423210c1642e3d793303d2a081~1. One Box~1;e6af7d42084352a39449e6d0a09b18cd;10db62423210c1642e3d793303d2a081;1. One Box;1;2019-10-23 07:43:33.128646-04:00;0.0;0.0;0.0;0.0;0.0;0.0;2e-06;1.09;3.0;34.67;0.0;90.33;0.0;0.0;0.0;0.0;1.0;3.0;12.0;27.0
e6af7d42084352a39449e6d0a09b18cd~10db62423210c1642e3d793303d2a081~2. Separated Boxes~1;e6af7d42084352a39449e6d0a09b18cd;10db62423210c1642e3d793303d2a081;2. Separated Boxes;1;2019-10-23 07:45:47.829439-04:00;11.11;0.0;0.0;1.0;0.0;0.15;0.111127;1.69;10.0;55.04;1.0;98.92;0.0;3.0;0.0;0.0;1.0;10.0;11.0;11.0
e6af7d42084352a39449e6d0a09b18cd~10db62423210c1642e3d793303d2a081~3. Rotate a Pyramid~1;e6af7d42084352a39449e6d0a09b18cd;10db62423210c1642e3d793303d2a081;3. Rotate a Pyramid;1;2019-10-23 07:46:07.810503-04:00;22.22;0.0;0.0;1.0;0.0;0.27;0.083447;1.62;10.0;63.5;0.0;73.72;0.0;3.0;0.0;0.0;1.0;10.0;17.0;31.0
e6af7d42084352a39449e6d0a09b18cd~10db62423210c1642e3d793303d2a081~4. Match Silhouettes~1;e6af7d42084352a39449e6d0a09b18cd;10db62423210c1642e3d793303d2a081;4. Match Silhouettes;1;2019-10-23 07:54:44.606636-04:00;33.33;0.0;0.0;1.0;0.0;0.53;0.061887;2.13;21.0;96.64;0.0;70.9;0.0;2.0;0.0;14.0;1.0;21.0;44.0;57.0
e6af7d42084352a39449e6d0a09b18cd~10db62423210c1642e3d793303d2a081~5. Removing Objects~1;e6af7d42084352a39449e6d0a09b18cd;10db62423210c1642e3d793303d2a081;5. Removing Objects;1;2019-10-23 07:56:09.627431-04:00;44.44;0.0;0.0;1.0;0.0;0.61;0.106021;2.89;22.0;87.97;0.0;69.92;0.0;7.0;0.0;0.0;1.0;22.0;41.0;41.0
e6af7d42084352a39449e6d0a09b18cd~10db62423210c1642e3d793303d2a081~6. Stretch a Ramp~1;e6af7d42084352a39449e6d0a09b18cd;10db62423210c1642e3d793303d2a081;6. Stretch a Ramp;1;2019-10-23 07:57:32.154950-04:00;55.56;0.0;0.0;1.0;0.0;0.57;0.107035;2.43;21.0;88.11;0.0;66.39;0.0;10.0;0.0;0.0;1.0;21.0;41.0;58.0
e6af7d42084352a39449e6d0a09b18cd~10db62423210c1642e3d793303d2a081~7. Max 2 Boxes~1;e6af7d42084352a39449e6d0a09b18cd;10db62423210c1642e3d793303d2a081;7. Max 2 Boxes;1;2019-10-23 07:59:58.046112-04:00;66.67;0.0;0.0;1.0;0.0;0.7;0.078039;1.63;13.0;76.52;0.0;74.09;0.0;3.0;0.0;0.0;0.0;13.0;25.0;39.0
e6af7d42084352a39449e6d0a09b18cd~10db62423210c1642e3d793303d2a081~8. Combine 2 Ramps~1;e6af7d42084352a39449e6d0a09b18cd;10db62423210c1642e3d793303d2a081;8. Combine 2 Ramps;1;2019-10-23 08:04:00.116293-04:00;66.67;0.0;0.0;1.33;0.0;0.75;0.068608;2.02;16.0;68.33;0.0;90.5;0.0;3.0;0.0;3.0;1.0;16.0;30.0;32.0
e6af7d42084352a39449e6d0a09b18cd~10db62423210c1642e3d793303d2a081~9. Scaling Round Objects~1;e6af7d42084352a39449e6d0a09b18cd;10db62423210c1642e3d793303d2a081;9. Scaling Round Objects;1;2019-10-25 13:03:43.061058-04:00;88.89;0.0;0.0;2.88;0.0;0.58;0.128647;2.57;15.0;37.5;0.0;76.39;1.0;4.0;0.0;0.0;0.0;15.0;34.0;36.0
e6af7d42084352a39449e6d0a09b18cd~10db62423210c1642e3d793303d2a081~Square Cross-Sections~1;e6af7d42084352a39449e6d0a09b18cd;10db62423210c1642e3d793303d2a081;Square Cross-Sections;1;2019-10-24 10:06:57.594338-04:00;77.78;0.0;0.0;1.71;0.0;1.19;0.199714;3.2;8.0;21.15;0.0;70.48;1.0;0.0;0.0;2.0;0.0;8.0;8.0;8.0
